"Distances between ballparks (Blue = Air, Green = Road)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SEA,SF,OAK,LAD,LAA,SD,ARI,COL,TEX,HOU,STL,KC,MIN,MIL,CHI,CWS,DET,CIN,CLE,PIT,TOR,BOS,NYY,NYM,PHI,BAL,WSH,ATL,TB,MIA
SEA,,679,680,959,982,1065,1115,1019,1671,1892,1723,1511,1392,1687,1732,1736,1935,1969,2023,2134,2069,2487,2405,2411,2377,2331,2327,2181,2529,2723
SF,806,,10,346,374,459,653,947,1466,1644,1742,1509,1581,1836,1854,1855,2088,2040,2163,2260,2265,2693,2570,2575,2519,2452,2438,2137,2393,2583
OAK,808,16,,338,365,450,643,937,1456,1633,1732,1500,1573,1827,1845,1846,2079,2030,2154,2251,2256,2684,2560,2566,2509,2443,2429,2126,2382,2573
LAD,1135,380,365,,28,113,358,830,1223,1373,1587,1360,1522,1739,1743,1743,1981,1894,2047,2133,2172,2591,2451,2455,2390,2316,2298,1935,2145,2330
LAA,1164,408,394,31,,87,336,823,1203,1351,1575,1348,1517,1731,1733,1733,1971,1882,2037,2122,2164,2581,2440,2445,2379,2304,2285,1917,2124,2309
SD,1257,502,487,125,95,,358,834,1166,1303,1563,1340,1532,1735,1733,1733,1971,1871,2033,2115,2166,2580,2435,2439,2371,2294,2274,1890,2081,2263
ARI,1425,750,736,375,357,375,,587,869,1016,1271,1053,1279,1460,1453,1452,1689,1579,1748,1826,1888,2296,2146,2150,2080,2002,1981,1590,1788,1973
COL,1330,1264,1266,1019,1011,1078,824,,655,881,796,564,698,910,918,919,1155,1093,1226,1319,1344,1765,1632,1637,1577,1508,1493,1212,1522,1717
TEX,2095,1717,1702,1422,1403,1341,1047,772,,231,561,459,870,866,819,814,1014,829,1040,1085,1217,1564,1394,1396,1313,1227,1200,737,927,1117
HOU,2442,1927,1913,1552,1534,1471,1177,1120,258,,680,645,1059,1005,946,940,1107,893,1115,1138,1302,1603,1426,1428,1339,1251,1220,701,782,960
STL,2087,2056,2058,1833,1825,1854,1462,852,649,836,,233,468,326,266,260,455,308,492,558,661,1035,877,881,809,731,711,468,868,1050
KC,1847,1815,1817,1627,1619,1686,1208,609,560,744,241,,415,437,411,408,641,535,695,775,844,1243,1095,1099,1031,956,938,671,1035,1226
MIN,1656,2040,2042,1928,1921,1988,1642,913,994,1180,560,439,,297,352,358,543,607,631,743,693,1121,1019,1025,986,939,936,911,1327,1503
MIL,1991,2169,2171,2057,2049,2116,1838,1041,1025,1176,376,566,336,,77,85,255,327,339,448,434,858,738,743,697,645,640,672,1097,1259
CHI,2061,2135,2137,2023,2015,2083,1766,1007,953,1087,304,518,407,90,,8,238,257,310,411,435,848,716,721,667,608,599,595,1021,1184
CWS,2068,2142,2144,2030,2022,2089,1757,1014,945,1078,295,510,413,97,10,,238,251,308,409,437,848,715,720,665,604,596,587,1013,1176
DET,2345,2395,2398,2283,2276,2343,2011,1268,1199,1297,549,764,691,289,288,278,,237,91,205,206,611,483,489,444,397,398,600,1008,1144
CIN,2329,2362,2364,2190,2182,2212,1819,1190,954,1052,359,583,707,389,303,293,263,,223,257,411,737,573,577,501,423,403,371,791,942
CLE,2408,2459,2461,2347,2339,2407,2020,1331,1202,1300,558,791,753,437,350,340,168,249,,114,189,548,407,412,359,308,307,557,951,1078
PIT,2525,2576,2578,2435,2427,2457,2064,1448,1242,1340,602,834,870,554,467,457,285,289,132,,223,480,320,324,259,197,193,523,890,1002
TOR,2583,2633,2635,2521,2513,2580,2249,1505,1436,1565,787,1001,825,490,525,515,242,492,291,315,,429,341,347,338,334,352,736,1113,1224
BOS,3073,3124,3126,3012,3004,3071,2677,1996,1777,1840,1215,1448,1418,1101,1015,1005,716,906,663,586,547,,180,180,271,358,392,936,1200,1247
NYY,2859,2910,2912,2798,2790,2857,2445,1782,1575,1637,983,1216,1214,888,801,791,619,649,466,388,480,214,,7,91,178,212,756,1031,1091
NYM,2867,2919,2921,2807,2799,2866,3903,1791,1575,1638,963,1196,1213,896,810,800,628,650,475,397,489,215,10,,91,179,213,756,1029,1088
PHI,2827,2878,2880,2723,2715,2745,2352,1730,1479,1541,890,1123,1172,856,769,759,587,577,434,311,486,319,108,110,,89,122,665,942,1008
BAL,2765,2817,2819,2699,2691,2721,2328,1676,1381,1444,868,1068,1111,794,708,698,526,523,373,249,465,413,201,203,99,,35,543,834,913
WSH,2637,2818,2820,2673,2665,2695,2302,1678,1347,1409,838,1070,1113,796,709,699,527,524,374,251,484,448,237,239,134,38,,543,834,913
ATL,2637,2470,2456,2176,2168,2140,1846,1403,799,791,555,795,1114,810,723,713,723,462,711,686,964,1104,893,892,772,639,639,,425,593
TB,3114,2891,2876,2552,2533,2471,2177,1879,1178,1002,1032,1272,1591,1287,1200,1190,1200,939,1115,1049,1358,1377,1166,1168,1063,930,930,478,,195
MIA,3297,3104,3096,2735,2717,2654,2360,2063,1362,1186,1215,1455,1774,1470,1383,1373,1358,1122,1241,1175,1484,1503,1292,1294,1189,1056,1056,661,265,
